age_group,total_patients,noshow_number,noshow_rate,confidence_weight
adult,54156,11669,0.21547012334736687,0.4900064241184933
child,22139,4610,0.20822982067844076,0.20031487228671474
senior,27499,4300,0.15636932252081895,0.24881244288415777
teen,6727,1737,0.2582131708042218,0.060866260710634175
