waiting_bucket,total_patients,noshow_number,noshow_rate,confidence_weight
0-1 days,43774,2905,0.06636359482798009,0.39608744435194904
1-3 days,9460,2244,0.2372093023255814,0.08559846538057837
3-7 days,17510,4413,0.25202741290691033,0.15843859712620798
7+ days,39772,12749,0.3205521472392638,0.3598754931412646
