appointment_weekday,total_patients,noshow_number,noshow_rate,confidence_weight
Monday,22712,4689,0.2064547375836562,0.20549940735244884
Tuesday,25640,5152,0.20093603744149766,0.23199211009672369
Wednesday,25867,5093,0.19689179263153825,0.23404601840374228
Thursday,17245,3336,0.1934473760510293,0.15603369495390015
Friday,19018,4037,0.21227258386791462,0.1720758950787633
Saturday,39,9,0.23076923076923078,0.0003528741144216936
